model,overall_accuracy,precision,recall,f1_score,total_test_images,training_time_seconds
MagFace,17.5531914893617,8.524937085335162,17.5531914893617,9.524812112158445,188,20.910710096359253
SphereFace,15.425531914893616,5.624274869133862,15.425531914893616,7.294506498592128,188,20.729816913604736
AdaFace,14.893617021276595,3.2676288759866288,14.893617021276595,4.8147303058815085,188,22.166874647140503
ArcFace_Combined,13.297872340425531,6.045585620053705,13.297872340425531,7.045486658104572,188,20.828462600708008
CosFace,13.297872340425531,6.069995852586995,13.297872340425531,7.687655067856348,188,21.21269154548645
CurricularFace,12.76595744680851,3.044036763641627,12.76595744680851,4.62210828051193,188,21.178653955459595
UniFace,12.76595744680851,4.509304926306131,12.76595744680851,6.31570082562881,188,21.075741291046143
ArcFace,11.702127659574469,7.039904384529246,11.702127659574469,7.840274192869738,188,20.719615936279297
